N,P,K,ph,temperature,humidity,rainfall,crop
112,52,49,6.34,29.16,88.51,224.82,Rice
144,77,97,7.06,25.14,72.24,204.55,Sugarcane
137,89,67,6.8,33.29,56.01,59.12,Cotton
73,42,51,6.83,19.13,57.22,86.77,Wheat
126,75,61,7.05,30.24,58.26,114.01,Cotton
86,42,45,6.35,19.65,54.59,45.9,Wheat
71,53,47,6.13,29.32,67.25,89.65,Groundnut
118,68,71,7.06,27.57,57.72,48.33,Cotton
61,52,41,6.52,27.74,58.51,113.33,Groundnut
59,52,50,6.52,15.99,50.6,79.74,Barley
104,46,52,6.11,25.49,65.75,133.31,Maize
112,66,65,6.95,27.47,88.34,221.96,Rice
118,71,74,6.36,29.04,80.06,217.06,Rice
71,37,29,6.93,17.7,44.91,85.97,Barley
89,50,48,6.19,32.98,66.1,70.81,Groundnut
126,82,62,6.89,35.57,64.23,154.32,Cotton
90,47,51,6.6,14.95,54.43,59.78,Wheat
103,50,54,7.2,16.13,53.41,80.32,Wheat
66,42,49,6.43,26.19,56.13,98.08,Groundnut
133,67,59,6.47,27.12,91.78,215.99,Rice
145,86,67,6.79,30.92,60.31,102.84,Cotton
65,42,44,6.61,11.95,42.54,97.19,Barley
81,61,34,6.32,16.54,55.96,111.84,Wheat
99,47,54,7.13,29.0,67.75,159.25,Maize
100,47,71,6.75,27.66,70.02,144.89,Maize
135,68,71,6.39,33.98,58.02,93.85,Cotton
93,61,59,6.25,24.95,63.34,164.55,Maize
78,48,45,7.05,14.43,33.99,78.95,Barley
91,52,59,6.29,27.95,67.76,134.58,Maize
115,51,54,7.22,21.83,57.55,77.18,Wheat
60,51,64,6.74,29.42,64.76,148.66,Groundnut
166,88,102,6.69,25.81,80.83,270.03,Sugarcane
98,70,47,7.04,15.76,54.44,80.59,Wheat
56,39,51,6.83,13.73,46.42,47.05,Barley
75,43,58,6.26,28.01,61.83,88.37,Groundnut
41,41,42,6.06,15.63,48.23,61.22,Barley
128,63,67,7.04,29.66,53.83,100.4,Cotton
164,87,103,7.32,27.35,73.98,206.73,Sugarcane
121,83,62,6.31,30.77,87.41,228.4,Rice
155,80,78,7.23,26.14,69.56,227.29,Sugarcane
72,54,41,6.64,13.57,46.43,83.87,Barley
89,47,51,6.99,15.29,50.92,92.99,Wheat
111,88,58,7.42,33.85,60.9,103.89,Cotton
104,59,52,6.58,23.15,86.73,207.4,Rice
132,56,51,6.5,28.26,86.78,223.83,Rice
76,49,42,6.57,31.2,65.79,118.05,Groundnut
87,63,60,5.9,28.93,87.38,231.79,Rice
159,71,95,6.82,34.85,69.1,265.24,Sugarcane
88,49,55,6.46,22.82,50.6,41.63,Wheat
84,41,48,6.68,23.55,49.17,82.05,Wheat
86,49,57,6.94,16.75,54.33,73.62,Wheat
92,45,44,6.6,19.51,54.52,71.43,Wheat
152,64,91,7.34,28.59,74.39,226.4,Sugarcane
168,80,91,7.16,30.77,78.23,248.09,Sugarcane
137,86,53,7.49,31.22,64.82,133.22,Cotton
103,44,51,6.89,19.12,53.69,105.63,Wheat
67,64,54,6.29,22.98,60.25,126.4,Maize
84,73,48,6.76,30.0,61.33,55.8,Groundnut
117,59,47,6.55,29.72,84.69,242.49,Rice
95,52,50,7.08,16.02,52.12,79.76,Wheat
90,50,67,6.45,26.73,66.37,171.75,Maize
106,58,67,6.36,32.53,77.74,219.76,Rice
83,62,60,6.98,23.49,66.16,76.5,Wheat
79,59,48,6.81,13.48,60.08,92.55,Wheat
127,71,74,7.14,38.77,60.62,124.72,Cotton
97,46,60,5.92,26.27,67.6,138.19,Maize
128,72,81,6.78,33.08,57.15,98.06,Cotton
117,60,48,6.24,28.33,79.25,227.51,Rice
110,61,52,6.61,31.01,70.35,124.32,Maize
122,46,52,7.23,27.08,88.65,206.99,Rice
49,48,47,6.12,8.59,47.73,94.61,Barley
116,49,54,6.4,28.18,94.63,221.63,Rice
129,72,70,6.89,30.23,85.38,187.96,Rice
167,81,96,6.79,26.79,74.29,242.42,Sugarcane
131,58,61,6.25,24.95,76.28,198.89,Rice
125,69,64,6.56,36.3,64.08,122.89,Cotton
128,60,61,6.15,22.85,86.18,238.1,Rice
