N,P,K,ph,moisture,fertility
112,134,117,6.89,54.15,Medium
102,17,35,7.09,13.06,Low
24,55,65,5.99,12.45,Medium
116,38,196,7.47,39.91,Medium
81,39,105,6.46,66.79,High
30,135,109,6.22,56.98,Medium
112,124,102,6.13,11.17,Low
131,74,38,6.22,22.49,Medium
84,71,187,8.37,25.87,Low
97,107,63,7.23,39.61,High
126,77,7,5.76,51.07,Medium
109,120,21,7.44,25.15,Low
113,137,82,5.82,36.78,Medium
62,71,50,5.0,50.88,High
11,143,170,6.4,36.84,Low
97,125,39,7.5,20.02,Medium
47,98,133,6.01,44.42,Medium
139,133,116,7.98,32.68,Low
30,95,161,6.05,70.49,Low
67,96,136,5.9,64.29,Medium
31,67,65,8.49,23.32,Low
98,33,101,6.43,20.68,High
58,16,149,7.72,34.34,Low
68,81,160,7.72,38.85,Medium
24,45,182,8.21,75.24,Low
60,134,94,4.84,31.11,Medium
117,41,140,5.58,70.73,Medium
64,28,166,7.57,45.37,Low
73,103,63,6.75,71.99,High
60,104,22,6.74,59.14,Medium
30,143,99,5.16,59.59,Low
82,62,191,5.62,46.32,High
27,33,159,6.59,68.82,Medium
98,64,20,5.61,27.81,Medium
69,99,14,5.34,73.51,Low
23,46,108,4.85,54.57,Medium
18,47,80,5.12,40.71,Medium
99,78,154,7.58,78.75,Medium
62,68,20,7.38,70.34,High
139,6,16,4.68,64.04,Low
93,70,79,5.31,29.17,Medium
101,35,183,6.74,78.16,Medium
120,119,133,5.79,62.01,Low
17,30,31,7.79,52.37,Medium
44,33,199,7.64,74.53,Medium
90,82,16,8.07,21.35,Low
59,29,34,6.75,19.73,Medium
113,52,13,5.91,49.46,Medium
11,69,57,6.92,13.97,Medium
63,71,193,4.86,56.48,Medium
115,94,58,4.54,26.85,Low
13,141,169,4.57,18.33,Low
63,42,197,6.13,38.66,High
53,91,174,5.41,42.62,Low
23,69,53,5.13,21.93,Low
104,31,8,6.96,12.91,Low
57,110,196,8.48,38.98,Low
24,127,83,5.21,63.17,Low
49,48,183,6.69,71.19,High
91,104,95,4.98,16.83,Low
120,32,204,8.24,46.73,Low
62,21,192,5.67,28.44,Low
33,131,83,8.01,36.22,Low
133,127,163,5.63,75.34,Low
50,135,107,7.72,34.65,Medium
24,80,115,5.34,35.57,Medium
54,50,204,5.67,24.66,Medium
74,73,62,5.27,77.2,High
98,141,86,5.56,41.95,High
80,89,136,7.84,49.93,Medium
18,15,26,7.06,41.72,Low
97,73,135,6.12,27.7,Medium
138,103,83,8.39,66.73,Low
72,95,103,6.36,11.99,Medium
90,98,179,8.38,58.32,Low
42,119,42,5.29,51.6,Medium
132,35,165,8.12,20.1,Low
14,15,180,4.56,21.61,Low
50,91,197,6.68,56.15,Medium
37,125,121,6.19,31.85,Low
81,134,30,6.6,28.6,Medium
21,109,140,6.71,14.14,Low
42,31,54,6.06,63.65,High
57,6,42,8.49,71.79,Medium
71,107,142,8.41,67.39,Low
46,105,46,8.35,42.62,Medium
108,25,41,8.42,47.38,Low
113,62,158,7.67,26.96,Low
44,137,144,8.45,22.1,Low
110,89,53,8.07,67.61,Medium
10,97,146,6.16,65.88,Low
14,24,50,7.64,64.42,Low
112,65,167,8.15,42.44,Low
36,42,33,7.35,70.52,High
24,29,16,6.19,74.84,Low
99,134,120,4.76,32.98,Medium
51,125,86,7.74,25.73,Low
133,30,48,8.31,42.5,Medium
72,71,198,5.95,22.55,Medium
105,5,6,5.11,71.88,Low
61,55,191,5.81,33.66,High
105,9,21,6.83,50.33,Low
38,17,142,5.77,51.63,Low
45,144,22,6.94,46.05,Medium
22,52,26,8.37,20.96,Low
80,61,87,7.18,79.37,High
95,119,62,5.95,22.08,Medium
37,39,57,8.24,62.61,Medium
75,80,5,6.76,65.4,High
54,98,65,5.01,20.16,Low
71,9,163,6.5,75.32,Medium
37,26,35,7.11,44.14,Medium
37,107,70,7.85,54.02,Low
117,135,151,8.25,54.95,Low
53,128,57,5.77,45.35,High
93,57,99,5.12,19.94,Medium
39,73,154,4.8,62.62,Low
84,108,27,7.45,50.73,Medium
137,20,147,7.68,18.31,Low
101,120,158,6.14,59.02,Low
138,80,135,6.08,59.19,Medium
130,113,91,8.32,48.39,Low
36,43,152,8.17,16.34,Low
130,93,129,5.43,34.69,Low
125,116,113,7.62,13.56,Low
12,51,44,6.99,43.43,High
112,141,125,5.12,73.45,Low
71,132,43,5.93,10.16,Medium
60,81,124,5.21,28.66,Low
68,19,204,5.68,65.99,Medium
127,40,22,6.96,10.69,Low
105,67,173,6.0,10.71,Low
122,73,202,6.08,52.76,Medium
71,78,159,6.66,65.24,High
61,28,147,4.85,64.36,Low
21,53,41,7.46,64.57,High
48,11,190,6.11,35.27,Medium
139,8,9,6.42,71.79,Low
122,94,77,8.4,10.9,Low
110,64,139,5.88,31.85,Medium
122,59,45,7.09,33.6,High
90,20,14,6.07,21.59,Low
122,33,194,8.08,33.54,Low
11,18,158,7.89,51.01,Low
139,83,72,5.47,46.42,Medium
63,37,28,7.27,32.36,High
96,25,82,4.76,62.45,Medium
138,27,173,8.35,60.04,Low
135,61,197,5.9,29.65,Low
139,97,149,7.83,32.63,Low
62,24,113,5.77,30.13,High
77,23,28,7.03,19.02,Low
132,107,159,8.43,62.69,Low
47,81,11,8.01,13.24,Low
33,37,77,5.14,20.54,Low
78,22,111,6.69,17.37,Medium
125,77,103,5.89,67.77,High
107,21,126,6.24,13.08,Low
106,23,16,5.84,56.52,Low
133,74,89,5.84,13.11,Medium
79,124,7,6.67,65.05,Medium
102,105,83,5.27,73.89,Low
12,38,89,6.65,44.08,High
99,88,14,5.62,66.32,High
105,78,37,5.66,59.45,High
61,92,50,7.45,65.69,High
137,89,63,4.62,63.67,Medium
48,15,56,6.02,24.38,Medium
91,95,10,6.13,44.97,Medium
113,131,134,6.44,77.23,Low
138,117,33,7.18,34.05,Medium
20,84,123,5.98,77.93,Medium
51,11,172,5.35,50.82,Low
108,20,101,8.04,42.31,Low
16,20,193,8.42,56.04,Low
99,16,200,4.58,67.11,Low
121,39,72,6.69,37.59,High
69,25,161,5.87,12.31,Low
122,21,194,5.61,59.62,Low
11,36,64,5.84,76.93,High
138,45,128,7.06,53.75,Medium
57,138,88,5.26,23.19,Low
46,31,45,8.15,27.38,Medium
18,70,117,6.36,73.68,High
108,141,69,5.8,10.95,Low
57,96,196,7.56,48.41,Low
63,65,83,4.57,21.11,Medium
129,7,67,6.23,29.79,Low
125,107,180,5.92,31.49,Low
84,59,152,5.85,25.35,Medium
122,5,122,5.85,65.46,Low
113,105,41,4.63,33.25,Low
93,49,68,5.11,34.18,High
121,30,90,5.07,41.71,Medium
108,125,137,8.45,73.16,Low
102,50,38,4.59,58.17,Medium
137,126,43,5.17,14.32,Low
119,35,71,8.4,12.75,Low
91,63,66,7.01,49.65,High
63,33,92,6.3,72.09,High
77,110,156,4.82,32.63,Low
42,21,135,7.18,27.34,Low
30,28,113,5.05,62.37,Low
57,113,203,7.18,52.15,Medium
137,95,93,8.42,49.55,Low
137,29,71,6.63,20.45,Low
42,36,83,5.36,22.32,Medium
124,120,182,7.0,29.73,Low
128,86,33,6.55,24.48,Medium
31,114,78,6.63,78.0,Medium
47,41,36,6.41,11.3,High
118,30,91,7.19,53.82,High
60,141,43,6.79,46.23,High
17,68,141,8.45,32.63,Low
36,76,105,7.8,72.13,Medium
36,110,146,5.56,56.91,Low
30,90,72,7.4,79.88,High
39,57,196,5.36,21.81,Low
106,96,152,7.63,16.15,Low
37,103,32,5.09,19.76,Low
120,15,18,6.39,28.85,Low
70,35,176,7.66,39.18,Medium
57,104,81,5.62,70.38,High
13,91,120,7.85,29.85,Low
44,144,171,7.08,74.07,Medium
58,19,32,6.09,42.4,High
26,105,196,6.19,55.29,Low
55,33,93,8.2,28.51,Medium
126,118,36,5.37,20.92,Low
15,111,141,7.27,70.86,Low
108,112,160,7.33,17.67,Low
133,134,99,8.19,64.18,Low
46,88,21,7.35,50.67,High
33,19,121,6.84,70.28,Low
102,136,81,8.11,60.25,Low
55,54,59,7.82,29.72,Medium
104,27,14,7.37,50.21,Low
108,63,84,4.63,10.92,Low
125,94,138,5.99,43.27,Low
76,119,180,7.03,16.02,Low
137,79,120,6.59,40.03,High
27,127,199,5.78,17.67,Low
34,140,173,5.08,76.88,Low
63,143,83,6.71,46.61,High
67,22,64,5.64,73.93,High
76,54,46,5.43,11.57,Medium
113,122,120,6.1,54.64,Medium
33,141,113,7.64,31.49,Low
123,143,75,6.45,40.23,Medium
41,112,160,5.37,71.12,Low
95,71,106,4.97,78.6,High
136,82,17,6.5,27.25,Low
139,79,19,7.68,76.38,Low
26,43,40,7.11,58.21,High
113,29,19,5.43,76.6,Low
52,25,121,6.25,49.37,Medium
48,142,79,7.92,77.25,Medium
35,19,60,5.21,72.47,Low
108,52,99,6.63,19.0,Medium
59,90,136,5.92,31.76,High
22,120,56,5.0,27.01,Low
69,54,142,4.7,50.05,Medium
66,73,177,6.72,66.2,High
45,8,88,4.58,63.16,Medium
29,82,33,4.91,60.87,Medium
74,13,57,5.89,36.27,High
17,125,161,4.67,19.77,Low
124,119,155,6.1,24.74,Low
101,105,189,5.02,61.92,Low
107,101,182,5.9,20.33,Low
75,85,25,7.66,25.61,Low
41,47,116,7.01,39.72,High
95,99,175,6.28,15.05,Low
60,10,142,4.87,24.89,Low
72,71,80,6.98,20.48,High
134,144,34,5.15,76.59,Low
67,104,129,4.81,23.41,Low
67,16,55,7.16,70.32,High
95,70,165,8.15,18.04,Low
58,6,150,6.34,70.88,Medium
79,85,82,4.66,51.96,High
24,139,26,8.02,69.48,Low
63,74,68,4.77,70.71,High
110,119,25,7.97,51.75,Low
17,92,133,6.07,74.24,Low
62,10,111,5.96,50.98,High
69,31,120,6.67,59.88,High
117,86,128,8.33,39.13,Low
14,92,147,8.09,73.98,Low
112,124,40,6.38,67.69,Medium
15,28,51,7.28,21.67,Low
118,106,186,6.82,50.35,Low
125,38,36,7.27,72.78,High
103,51,190,7.82,65.51,Low
56,28,178,4.64,77.38,Low
108,69,58,5.8,26.19,Medium
64,22,165,8.34,35.72,Low
61,48,171,8.3,45.5,Medium
22,80,27,4.54,26.29,Low
123,61,175,5.31,37.58,Low
133,111,187,8.48,47.63,Low
115,128,6,6.47,23.39,Low
129,143,198,6.79,27.97,Low
72,120,170,5.17,18.74,Low
28,97,161,8.08,59.94,Low
101,46,114,5.43,35.31,Medium
67,32,128,5.26,25.42,Low
99,127,71,5.41,45.51,Medium
126,28,75,8.18,14.78,Low
71,140,168,7.31,74.64,Medium
32,110,33,7.57,30.61,Low
136,122,123,6.01,72.05,Low
138,57,169,8.14,44.83,Low
67,136,117,7.66,69.51,Medium
131,104,49,7.5,27.29,Low
10,9,20,8.38,22.27,Low
43,53,35,5.96,69.46,High
105,102,166,6.94,24.9,Low
135,34,54,8.14,62.23,Medium
127,76,197,7.66,34.12,Low
57,107,126,6.75,62.37,Medium
98,67,194,4.8,73.54,Medium
126,30,175,7.11,78.71,Medium
138,41,188,6.61,35.19,Medium
25,11,19,5.24,35.73,Low
78,131,180,8.03,78.7,Low
31,96,53,5.87,70.31,Medium
102,107,176,6.05,13.16,Low
85,57,14,7.19,50.14,High
95,136,24,6.46,22.69,Low
38,112,74,4.86,79.58,Low
78,116,12,6.05,19.72,Low
56,11,177,4.88,49.15,Low
103,71,38,5.26,56.56,Medium
94,112,183,4.53,75.59,Low
48,115,8,5.23,69.31,Low
109,87,112,5.82,27.2,Medium
42,128,171,6.65,50.08,Medium
110,143,28,8.18,76.75,Low
32,108,59,6.66,61.5,Medium
19,71,30,7.32,58.18,High
78,11,29,5.93,62.84,Medium
109,114,40,7.51,32.58,Low
43,38,75,6.98,61.05,High
105,110,190,6.34,26.3,Low
10,62,16,5.28,39.97,Low
78,13,133,5.71,72.3,Medium
13,52,120,6.98,11.33,Medium
25,119,182,6.2,39.0,Low
33,45,157,8.06,28.68,Low
89,52,137,5.44,23.9,Low
11,29,87,4.79,68.7,Low
137,120,200,6.86,58.75,Low
93,82,10,8.04,17.88,Low
133,112,30,5.96,44.61,Medium
42,29,117,7.09,42.68,High
110,43,107,5.43,19.98,Low
21,123,124,6.73,65.98,Low
76,83,187,7.65,35.67,Medium
74,84,171,7.97,63.34,Medium
83,31,13,4.92,23.44,Low
52,108,49,5.93,32.06,High
53,78,18,7.06,16.66,Medium
38,72,116,4.64,20.04,Low
21,32,59,7.26,71.82,High
104,127,141,6.61,17.64,Low
55,142,19,5.65,16.7,Low
139,87,41,7.76,75.83,Medium
44,34,182,5.66,55.21,High
90,26,131,8.47,17.06,Low
99,7,121,7.77,78.02,Low
17,105,88,7.33,20.3,Low
102,109,76,4.75,63.64,Low
99,6,100,8.12,12.44,Low
124,58,115,7.66,53.72,Medium
114,10,153,5.42,48.27,Low
67,111,189,6.07,24.56,Low
123,127,109,5.57,55.02,Medium
84,6,151,8.44,53.19,Low
129,115,62,7.92,65.88,Low
30,6,99,8.22,71.31,Low
110,97,122,7.66,45.71,Low
108,105,10,6.33,44.32,Low
45,101,8,5.32,53.51,Low
105,115,47,5.33,61.04,Low
46,10,97,5.11,34.93,Medium
21,131,46,6.69,45.32,Medium
122,108,7,8.18,50.96,Low
22,5,133,8.47,79.19,Low
32,37,187,5.65,51.14,Medium
108,44,19,7.29,25.69,Low
114,36,51,6.89,51.16,High
39,21,89,6.46,67.36,Medium
26,130,178,7.16,70.02,Low
122,12,62,5.99,66.02,Medium
71,61,203,8.28,72.17,Medium
93,46,43,7.32,33.43,High
121,102,135,7.52,45.53,Low
95,141,162,5.47,64.57,Low
28,124,39,5.17,28.51,Low
109,91,189,6.08,36.01,Low
85,58,161,7.57,68.18,Medium
18,88,182,8.26,63.91,Low
37,29,194,6.21,77.98,Low
137,71,56,7.6,79.72,Medium
61,50,122,6.38,26.85,Medium
92,26,18,5.68,73.03,Medium
120,143,167,7.46,16.62,Low
126,12,160,7.69,59.69,Low
78,43,190,5.31,25.41,Low
108,53,34,5.72,31.02,High
34,50,94,6.48,76.24,High
132,42,139,5.25,28.42,Low
62,140,171,8.22,57.12,Low
66,58,99,6.87,22.47,High
48,96,73,4.98,16.54,Low
118,44,167,5.24,33.75,Low
51,38,131,8.32,53.69,Medium
131,100,56,7.45,27.36,Low
84,83,146,7.44,31.01,High
85,131,67,4.79,59.61,Medium
18,21,40,8.08,17.2,Low
83,114,95,6.27,41.28,High
16,56,156,7.14,75.92,Medium
36,122,172,8.34,37.79,Low
131,13,161,4.9,40.39,Low
14,37,57,6.43,61.67,High
38,117,113,4.7,64.53,Low
92,89,154,6.5,63.87,High
118,14,76,5.51,79.85,Medium
74,10,19,8.14,15.0,Low
95,119,117,6.09,78.76,High
80,125,73,7.04,76.51,High
54,69,120,7.94,69.65,High
45,24,196,8.43,41.79,Low
79,61,8,6.52,70.96,High
28,50,79,6.32,25.46,Medium
117,140,150,4.8,65.42,Low
100,14,46,4.55,22.97,Low
99,117,34,6.94,67.08,High
28,143,147,4.76,53.02,Low
48,16,74,6.02,16.86,Medium
135,142,187,4.51,72.67,Low
135,15,185,6.96,50.46,Low
67,122,20,6.2,55.94,Medium
70,43,115,5.01,29.85,Medium
136,57,108,5.69,71.01,High
114,60,111,6.78,48.16,High
10,108,127,7.13,39.48,Low
101,133,166,6.35,47.4,Low
122,60,31,7.72,59.23,Medium
65,122,17,4.95,58.65,Low
126,136,159,4.84,35.03,Low
67,34,77,4.68,36.97,High
53,16,201,6.64,49.36,Medium
70,39,90,7.32,74.71,High
56,81,35,5.02,62.18,High
89,106,7,7.06,37.33,Medium
127,91,34,6.41,33.59,Medium
29,56,153,8.45,46.65,Low
56,84,103,7.37,70.9,High
58,139,138,7.13,10.61,Low
23,26,164,6.78,59.73,Low
10,79,174,8.49,30.62,Low
126,62,194,8.42,24.59,Low
63,97,164,6.65,10.85,Low
127,107,103,6.32,72.76,Medium
12,144,90,6.35,73.86,Medium
21,11,171,6.21,14.3,Low
83,132,68,6.63,46.53,High
25,59,122,5.59,20.68,Low
111,110,162,8.21,63.11,Low
126,66,195,6.46,56.58,Medium
17,94,118,7.87,30.8,Low
131,102,163,6.4,18.19,Low
101,81,91,7.37,68.19,High
99,123,44,5.85,57.2,High
69,40,165,7.0,10.48,Medium
37,93,195,6.49,53.95,Low
110,134,29,5.97,66.72,Low
50,97,168,8.03,51.35,Low
55,118,156,4.95,39.73,Low
44,32,99,6.45,50.87,High
91,37,190,5.28,53.38,Medium
124,24,171,7.94,54.8,Low
56,144,50,5.51,77.69,High
19,105,142,7.03,22.51,Low
65,27,36,5.16,53.62,Medium
39,116,101,6.12,23.16,Low
118,18,168,8.1,24.7,Low
14,95,160,5.16,56.85,Low
128,81,148,7.15,74.12,Medium
42,89,20,5.32,21.13,Low
127,113,22,6.16,77.37,Low
74,35,140,6.66,32.36,High
20,126,79,6.81,37.39,Medium
94,111,202,6.91,20.76,Low
35,58,5,7.06,53.11,Medium
72,137,194,5.59,51.75,Medium
95,47,129,6.11,40.96,High
68,93,42,4.65,43.33,Medium
36,119,49,7.58,53.61,Low
107,103,190,7.85,50.84,Low
114,51,85,5.3,36.2,Medium
108,75,133,5.31,71.89,Low
138,71,36,4.67,56.74,Medium
64,66,140,8.38,24.38,Low
15,113,122,7.73,32.39,Low
104,41,44,5.94,65.15,High
111,123,188,6.43,17.32,Low
12,90,195,5.67,62.52,Medium
32,130,78,6.89,35.12,Medium
62,140,115,7.37,48.62,High
92,56,107,6.29,29.64,High
94,95,107,7.99,79.05,Medium
87,37,78,6.57,73.41,High
119,85,168,5.08,74.99,Low
10,46,118,6.99,22.93,Medium
60,116,127,6.35,68.92,Medium
13,130,61,8.24,47.48,Low
122,140,78,6.07,59.55,Medium
41,110,87,6.11,25.23,Medium
43,129,177,7.1,59.84,Medium
101,117,83,6.61,74.0,Medium
104,68,134,6.0,28.72,Low
81,127,97,8.46,26.34,Low
48,118,200,5.71,17.31,Low
127,24,54,5.61,28.68,Low
12,20,33,7.96,47.51,Low
132,23,85,4.51,68.29,Low
59,124,14,5.31,29.52,Low
21,140,159,6.86,53.48,Low
63,42,121,5.15,43.57,Medium
66,97,147,8.44,30.2,Low
121,109,64,6.36,45.73,Medium
56,104,163,6.89,21.76,Low
94,94,153,5.14,54.77,Low
75,48,64,5.66,18.1,High
84,80,62,6.96,61.17,High
112,83,173,6.7,22.44,Low
47,77,178,7.64,79.87,Medium
59,144,49,5.58,67.66,High
107,100,128,7.11,34.07,Low
91,93,30,5.66,39.83,High
39,107,106,6.85,28.14,Low
88,10,55,6.92,63.7,High
100,126,168,4.99,36.65,Low
61,120,56,6.69,62.86,High
88,66,55,4.55,11.29,Medium
39,140,135,6.5,19.49,Low
115,93,18,7.29,35.55,Low
60,100,181,4.79,17.62,Low
90,130,5,8.25,52.08,Low
38,94,189,6.34,13.56,Low
83,90,149,8.25,70.18,Medium
26,142,182,4.93,63.29,Low
93,125,18,8.3,25.14,Low
78,80,191,4.94,43.87,Medium
43,96,85,6.35,41.63,High
15,74,7,8.25,60.74,Low
62,137,102,5.43,38.11,Medium
135,27,44,4.64,12.31,Low
52,141,93,7.67,29.16,Low
124,62,129,6.88,42.63,Medium
120,50,198,6.56,78.21,Medium
89,26,166,4.64,71.68,Low
104,12,99,7.11,22.7,Low
127,127,13,5.19,60.63,Low
17,24,98,8.22,75.58,Low
113,82,88,7.24,10.62,Medium
34,43,25,7.33,60.47,Medium
105,41,29,5.43,42.15,Low
102,79,106,8.02,57.62,Medium
70,122,126,6.65,52.39,Medium
131,108,176,7.93,78.93,Low
60,35,29,5.58,30.22,High
30,127,141,7.52,65.03,Low
14,58,107,6.8,26.42,Medium
101,38,194,4.69,40.49,Low
70,126,158,6.12,78.28,Medium
31,117,61,5.24,63.63,Low
79,66,41,5.94,32.11,High
10,27,20,6.03,53.36,Low
21,50,41,6.4,13.48,Medium
99,60,80,6.9,28.65,High
55,139,156,6.78,60.29,Medium
43,122,30,4.66,49.91,Medium
87,135,24,7.5,42.88,Medium
54,117,141,8.3,58.36,Low
82,48,107,5.89,37.89,High
35,132,33,5.22,11.83,Low
56,112,35,6.66,40.87,High
130,21,23,7.32,73.15,Low
65,63,152,7.22,69.96,High
103,142,31,6.95,38.63,Medium
116,103,98,5.08,11.56,Low
72,88,89,7.85,54.54,High
57,49,48,6.2,61.88,High
70,112,167,5.39,30.6,Low
90,66,117,4.85,43.37,High
35,63,203,6.17,79.43,Medium
45,142,154,6.97,50.34,Medium
10,15,78,7.16,34.58,Medium
17,106,91,8.35,53.92,Low
122,74,147,5.11,22.6,Low
108,127,98,8.44,23.95,Low
56,38,102,7.12,74.74,High
136,105,145,6.32,26.74,Low
65,108,136,8.05,31.76,Low
23,44,60,7.28,48.06,High
37,23,155,5.89,72.98,Low
87,71,101,8.04,64.7,High
139,86,102,7.17,13.06,Medium
118,68,38,7.3,58.51,High
23,87,104,8.09,45.28,Medium
65,51,149,6.29,43.29,High
124,10,160,7.13,58.41,Low
16,20,18,7.48,23.74,Low
12,43,166,6.32,78.7,Medium
120,117,116,4.83,55.17,Low
116,144,79,7.59,35.6,Low
27,142,189,4.69,52.01,Low
47,75,101,7.37,25.15,High
124,114,125,8.14,54.37,Low
24,59,59,5.89,11.98,Medium
128,133,198,4.91,33.88,Low
37,53,121,5.43,62.33,Low
48,25,97,6.75,66.56,High
26,41,41,8.27,27.7,Low
95,120,200,6.55,47.76,Medium
135,28,30,4.95,46.99,Low
53,59,193,7.01,39.5,High
34,29,71,7.43,25.99,Low
22,139,88,6.07,59.23,Medium
34,131,184,7.39,27.67,Low
77,97,22,5.8,73.77,Medium
76,98,185,7.66,47.0,Low
118,75,195,5.86,70.93,Medium
120,126,185,5.52,30.35,Low
120,28,31,8.02,66.5,Low
43,15,35,6.69,17.96,Medium
120,77,110,5.64,63.68,High
17,16,133,8.24,37.09,Low
122,39,10,7.26,42.9,Medium
92,27,15,5.38,21.68,Low
51,87,166,6.96,11.3,Medium
110,92,195,7.98,56.63,Low
15,84,185,7.28,51.14,Medium
35,101,22,5.48,53.57,Low
73,144,25,7.1,27.85,Low
68,38,23,6.98,26.75,Medium
118,79,8,7.78,68.12,Low
130,132,81,5.21,63.29,Low
42,35,120,7.3,33.58,High
30,134,161,4.61,54.65,Low
79,107,29,7.28,67.97,Medium
121,19,188,8.34,72.22,Low
13,61,81,5.2,10.41,Low
103,79,195,5.75,66.94,Medium
84,38,159,6.83,34.53,High
71,107,192,7.43,60.29,Medium
103,79,53,5.88,36.0,High
104,33,69,7.16,52.44,High
64,20,170,8.1,55.27,Low
40,81,87,7.41,38.35,High
49,41,184,7.34,45.89,High
45,85,5,6.03,60.84,High
15,128,172,8.15,43.34,Low
75,23,85,5.61,10.98,Medium
84,106,25,5.32,10.9,Low
13,140,90,5.96,56.29,Medium
88,81,19,7.1,69.31,High
127,45,54,7.95,64.97,Medium
122,65,52,5.03,31.73,Medium
103,30,164,7.76,42.98,Low
71,75,53,7.75,26.39,Medium
88,107,200,6.85,79.24,Medium
35,74,112,7.54,28.24,Low
53,111,49,5.23,39.14,Medium
79,111,36,5.18,57.68,Medium
127,107,136,7.95,71.32,Low
77,23,197,6.49,13.6,Low
